Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4
2022-04-30,6766,1356,5096,1131,21448.22,8597.04,27620.32,8064.03
2022-05-01,2524,500,279,661,8001.08,3170.0,1512.18,4712.93
2022-05-02,3138,1075,3797,386,9947.46,6815.5,20579.74,2752.18
2022-05-03,4372,439,3815,520,13859.24,2783.26,20677.3,3707.6
2022-05-04,5785,2301,5086,1965,18338.45,14588.34,27566.12,14010.45
2022-05-05,1144,3025,4500,1435,3626.48,19178.5,24390.0,10231.55
2022-05-06,3280,3774,4757,1350,10397.6,23927.16,25782.94,9625.5
2022-05-07,901,3213,3421,1306,2856.17,20370.42,18541.82,9311.78
2022-05-08,975,1689,5393,362,3090.75,10708.26,29230.06,2581.06
2022-05-09,6122,2819,1734,551,19406.74,17872.46,9398.28,3928.63
2022-05-10,683,2071,2012,1480,2165.11,13130.14,10905.04,10552.4
2022-05-11,904,3803,3970,303,2865.68,24111.02,21517.4,2160.39
2022-05-12,368,780,1963,724,1166.56,4945.2,10639.46,5162.12
2022-05-13,7516,3661,4823,1517,23825.72,23210.74,26140.66,10816.21
2022-05-14,7438,1470,5123,325,23578.46,9319.8,27766.66,2317.25
2022-05-15,7751,1955,566,1032,24570.67,12394.7,3067.72,7358.16
2022-05-16,2978,1474,1499,564,9440.26,9345.16,8124.58,4021.32
2022-05-17,5702,3117,5009,543,18075.34,19761.78,27148.78,3871.59
2022-05-18,3936,3429,3904,482,12477.12,21739.86,21159.68,3436.66
2022-05-19,2707,3502,1212,892,8581.19,22202.68,6569.04,6359.96
2022-05-20,757,3614,1355,1049,2399.69,22912.76,7344.1,7479.37
2022-05-21,2718,942,5570,538,8616.06,5972.28,30189.4,3835.94
2022-05-22,7271,930,2651,1382,23049.07,5896.2,14368.42,9853.66
2022-05-23,2545,1574,3823,1981,8067.65,9979.16,20720.66,14124.53
2022-05-24,6894,366,5555,501,21853.98,2320.44,30108.1,3572.13
2022-05-25,1929,3700,2555,1139,6114.93,23458.0,13848.1,8121.07
2022-05-26,5353,1136,5198,1357,16969.01,7202.24,28173.16,9675.41
2022-05-27,3433,2406,913,941,10882.61,15254.04,4948.46,6709.33
2022-05-28,4517,3153,4297,1057,14318.89,19990.02,23289.74,7536.41
2022-05-29,7441,1491,4385,910,23587.97,9452.94,23766.7,6488.3
2022-05-30,5426,1014,3830,1379,17200.42,6428.76,20758.6,9832.27
2022-05-31,3669,2710,3067,1593,11630.73,17181.4,16623.14,11358.09
2022-06-01,4051,3728,4855,1923,12841.67,23635.52,26314.1,13710.99
2022-06-02,3443,3033,1834,1475,10914.31,19229.22,9940.28,10516.75
2022-06-03,3971,1846,871,328,12588.07,11703.64,4720.82,2338.64
2022-06-04,3927,2854,3434,1797,12448.59,18094.36,18612.28,12812.61
2022-06-05,3996,474,2822,497,12667.32,3005.16,15295.24,3543.61
2022-06-06,3032,3492,5214,1780,9611.44,22139.28,28259.88,12691.4
2022-06-07,4035,1774,1834,1378,12790.95,11247.16,9940.28,9825.14
2022-06-08,5878,3041,3071,467,18633.26,19279.94,16644.82,3329.71
2022-06-09,7661,3727,824,554,24285.37,23629.18,4466.08,3950.02
2022-06-10,4072,1158,1356,1282,12908.24,7341.72,7349.52,9140.66
2022-06-11,827,999,969,631,2621.59,6333.66,5251.98,4499.03
2022-06-12,2209,3184,4423,417,7002.53,20186.56,23972.66,2973.21
2022-06-13,2115,593,2112,776,6704.55,3759.62,11447.04,5532.88
2022-06-14,3034,1954,1364,701,9617.78,12388.36,7392.88,4998.13
2022-06-15,5410,691,365,1245,17149.7,4380.94,1978.3,8876.85
2022-06-16,3525,2829,5319,1846,11174.25,17935.86,28828.98,13161.98
2022-06-17,6996,366,2186,1855,22177.32,2320.44,11848.12,13226.15
2022-06-18,4683,3615,299,1315,14845.11,22919.1,1620.58,9375.95
2022-06-19,1137,3096,2205,1998,3604.29,19628.64,11951.1,14245.74
2022-06-20,2705,637,4542,942,8574.85,4038.58,24617.64,6716.46
2022-06-21,6214,2277,2324,489,19698.38,14436.18,12596.08,3486.57
2022-06-22,6265,3267,821,982,19860.05,20712.78,4449.82,7001.66
2022-06-23,3137,2062,3324,624,9944.29,13073.08,18016.08,4449.12
2022-06-24,1575,2680,2989,1184,4992.75,16991.2,16200.38,8441.92
2022-06-25,6717,2843,3610,763,21292.89,18024.62,19566.2,5440.19
2022-06-26,2381,1137,1719,517,7547.77,7208.58,9316.98,3686.21
2022-06-27,3549,635,1703,1492,11250.33,4025.9,9230.26,10637.96
2022-06-28,7076,2341,3521,1192,22430.92,14841.94,19083.82,8498.96
2022-06-29,1392,1589,3505,1524,4412.64,10074.26,18997.1,10866.12
2022-06-30,3534,2909,5443,748,11202.78,18443.06,29501.06,5333.24
2022-07-01,1998,2892,3009,946,6333.66,18335.28,16308.78,6744.98
2022-07-02,3456,3649,357,727,10955.52,23134.66,1934.94,5183.51
2022-07-03,3651,3637,4779,1940,11573.67,23058.58,25902.18,13832.2
2022-07-04,7147,335,1589,1428,22655.99,2123.9,8612.38,10181.64
2022-07-05,4117,2506,1466,600,13050.89,15888.04,7945.72,4278.0
2022-07-06,1652,3418,4993,1458,5236.84,21670.12,27062.06,10395.54
2022-07-07,3038,1293,647,1205,9630.46,8197.62,3506.74,8591.65
2022-07-08,5877,2192,2524,1501,18630.09,13897.28,13680.08,10702.13
2022-07-09,7471,3769,5126,601,23683.07,23895.46,27782.92,4285.13
2022-07-10,2188,2980,608,1082,6935.96,18893.2,3295.36,7714.66
2022-07-11,6741,2586,5737,1159,21368.97,16395.24,31094.54,8263.67
2022-07-12,7738,913,995,1851,24529.46,5788.42,5392.9,13197.63
2022-07-13,297,401,5591,427,941.49,2542.34,30303.22,3044.51
2022-07-14,1557,464,3284,1800,4935.69,2941.76,17799.28,12834.0
2022-07-15,5813,1058,571,658,18427.21,6707.72,3094.82,4691.54
2022-07-16,2012,888,2706,485,6378.04,5629.92,14666.52,3458.05
2022-07-17,4065,3687,2374,716,12886.05,23375.58,12867.08,5105.08
2022-07-18,7948,560,387,1850,25195.16,3550.4,2097.54,13190.5
2022-07-19,5003,2976,3239,1085,15859.51,18867.84,17555.38,7736.05
2022-07-20,5847,1887,2093,1672,18534.99,11963.58,11344.06,11921.36
2022-07-21,6090,2908,307,313,19305.3,18436.72,1663.94,2231.69
2022-07-22,5681,1677,5690,901,18008.77,10632.18,30839.8,6424.13
2022-07-23,602,2990,4711,440,1908.34,18956.6,25533.62,3137.2
2022-07-24,3864,3485,502,1447,12248.88,22094.9,2720.84,10317.11
2022-07-25,7754,452,4882,1928,24580.18,2865.68,26460.44,13746.64
2022-07-26,7473,3257,789,967,23689.41,20649.38,4276.38,6894.71
2022-07-27,4987,549,2407,1220,15808.79,3480.66,13045.94,8698.6
2022-07-28,3693,2860,1252,468,11706.81,18132.4,6785.84,3336.84
2022-07-29,1180,1840,4423,561,3740.6,11665.6,23972.66,3999.93
2022-07-30,7982,401,1226,251,25302.94,2542.34,6644.92,1789.63
2022-07-31,1437,833,1867,1270,4555.29,5281.22,10119.14,9055.1
2022-08-01,4628,2266,2900,921,14670.76,14366.44,15718.0,6566.73
2022-08-02,2929,2104,757,762,9284.93,13339.36,4102.94,5433.06
2022-08-03,1121,3169,3109,1259,3553.57,20091.46,16850.78,8976.67
2022-08-04,726,2511,4365,1836,2301.42,15919.74,23658.3,13090.68
2022-08-05,2502,2225,1646,1522,7931.34,14106.5,8921.32,10851.86
2022-08-06,381,3161,5042,802,1207.77,20040.74,27327.64,5718.26
2022-08-07,1703,2168,641,351,5398.51,13745.12,3474.22,2502.63
2022-08-08,703,3458,878,1851,2228.51,21923.72,4758.76,13197.63
2022-08-09,5915,1303,1930,1195,18750.55,8261.02,10460.6,8520.35
2022-08-10,7130,325,1458,272,22602.1,2060.5,7902.36,1939.36
2022-08-11,5276,1883,4142,1740,16724.92,11938.22,22449.64,12406.2
2022-08-12,1286,3694,5502,1648,4076.62,23419.96,29820.84,11750.24
2022-08-13,1773,2410,1637,1448,5620.41,15279.4,8872.54,10324.24
2022-08-14,2467,3517,5422,1611,7820.39,22297.78,29387.24,11486.43
2022-08-15,6143,1400,2926,1055,19473.31,8876.0,15858.92,7522.15
2022-08-16,3964,3012,1873,1079,12565.88,19096.08,10151.66,7693.27
2022-08-17,6175,3884,3932,637,19574.75,24624.56,21311.44,4541.81
2022-08-18,5118,843,4725,1259,16224.06,5344.62,25609.5,8976.67
2022-08-19,3112,2762,1357,509,9865.04,17511.08,7354.94,3629.17
2022-08-20,4216,3330,4450,637,13364.72,21112.2,24119.0,4541.81
2022-08-21,5927,721,5711,1897,18788.59,4571.14,30953.62,13525.61
2022-08-22,2536,1598,5702,1484,8039.12,10131.32,30904.84,10580.92
2022-08-23,3618,1976,4813,995,11469.06,12527.84,26086.46,7094.35
2022-08-24,6253,2700,4865,927,19822.01,17118.0,26368.3,6609.51
2022-08-25,1578,534,824,733,5002.26,3385.56,4466.08,5226.29
2022-08-26,5496,2200,386,1140,17422.32,13948.0,2092.12,8128.2
2022-08-27,7301,3558,5548,676,23144.17,22557.72,30070.16,4819.88
2022-08-28,5084,3917,4050,1270,16116.28,24833.78,21951.0,9055.1
2022-08-29,3782,626,1950,723,11988.94,3968.84,10569.0,5154.99
2022-08-31,1035,1639,3658,841,3280.95,10391.26,19826.36,5996.33
2022-09-01,4321,3444,908,965,13697.57,21834.96,4921.36,6880.45
2022-09-02,2073,3675,5661,390,6571.41,23299.5,30682.62,2780.7
2022-09-03,1038,2005,5593,1726,3290.46,12711.7,30314.06,12306.38
2022-09-04,1750,3815,2392,1816,5547.5,24187.1,12964.64,12948.08
2022-09-05,1705,1099,4150,1851,5404.85,6967.66,22493.0,13197.63
2022-09-06,7478,1165,3756,1051,23705.26,7386.1,20357.52,7493.63
2022-09-07,6757,2997,2397,851,21419.69,19000.98,12991.74,6067.63
2022-09-08,839,371,1859,290,2659.63,2352.14,10075.78,2067.7
2022-09-09,2535,3449,1838,1077,8035.95,21866.66,9961.96,7679.01
2022-09-10,6508,1595,2073,279,20630.36,10112.3,11235.66,1989.27
2022-09-11,7163,2317,1995,614,22706.71,14689.78,10812.9,4377.82
2022-09-12,777,2600,5353,926,2463.09,16484.0,29013.26,6602.38
2022-09-13,5578,3297,5601,1835,17682.26,20902.98,30357.42,13083.55
2022-09-14,6334,2285,1107,365,20078.78,14486.9,5999.94,2602.45
2022-09-15,2823,1276,1688,435,8948.91,8089.84,9148.96,3101.55
2022-09-16,6042,2807,713,946,19153.14,17796.38,3864.46,6744.98
2022-09-17,1380,2480,1953,675,4374.6,15723.2,10585.26,4812.75
2022-09-18,1942,2980,1040,1332,6156.14,18893.2,5636.8,9497.16
2022-09-19,2225,2367,3504,1895,7053.25,15006.78,18991.68,13511.35
2022-09-20,7951,2658,5246,1989,25204.67,16851.72,28433.32,14181.57
2022-09-21,656,1529,2885,1751,2079.52,9693.86,15636.7,12484.63
2022-09-22,742,369,4083,368,2352.14,2339.46,22129.86,2623.84
2022-09-23,3274,3767,945,366,10378.58,23882.78,5121.9,2609.58
2022-09-24,375,1920,3131,1419,1188.75,12172.8,16970.02,10117.47
2022-09-25,6181,1241,2022,300,19593.77,7867.94,10959.24,2139.0
2022-09-26,1831,3970,5558,1157,5804.27,25169.8,30124.36,8249.41
2022-09-27,7950,495,1195,908,25201.5,3138.3,6476.9,6474.04
2022-09-28,4113,643,417,285,13038.21,4076.62,2260.14,2032.05
2022-09-29,2485,2463,5605,1643,7877.45,15615.42,30379.1,11714.59
2022-09-30,1419,2435,4176,1294,4498.23,15437.9,22633.92,9226.22
2022-10-01,6788,1458,2175,717,21517.96,9243.72,11788.5,5112.21
2022-10-02,2575,2495,2213,258,8162.75,15818.3,11994.46,1839.54
2022-10-03,4551,445,5876,1105,14426.67,2821.3,31847.92,7878.65
2022-10-04,4161,2789,5226,1573,13190.37,17682.26,28324.92,11215.49
2022-10-05,2711,504,387,472,8593.87,3195.36,2097.54,3365.36
2022-10-06,1401,516,1742,671,4441.17,3271.44,9441.64,4784.23
2022-10-07,4244,920,5184,1907,13453.48,5832.8,28097.28,13596.91
2022-10-08,2750,775,5041,285,8717.5,4913.5,27322.22,2032.05
2022-10-09,1547,1531,3370,1929,4903.99,9706.54,18265.4,13753.77
2022-10-10,704,963,966,1166,2231.68,6105.42,5235.72,8313.58
2022-10-11,7516,410,3458,1605,23825.72,2599.4,18742.36,11443.65
2022-10-12,1204,1791,5205,1551,3816.68,11354.94,28211.1,11058.63
2022-10-13,3675,1600,4215,1103,11649.75,10144.0,22845.3,7864.39
2022-10-14,2436,779,2402,1708,7722.12,4938.86,13018.84,12178.04
2022-10-15,2068,1000,3183,331,6555.56,6340.0,17251.86,2360.03
2022-10-16,3605,1850,3309,808,11427.85,11729.0,17934.78,5761.04
2022-10-17,3306,3015,4383,521,10480.02,19115.1,23755.86,3714.73
2022-10-18,988,964,1463,1722,3131.96,6111.76,7929.46,12277.86
2022-10-19,873,3951,1240,1019,2767.41,25049.34,6720.8,7265.47
2022-10-20,1351,1175,4137,1024,4282.67,7449.5,22422.54,7301.12
2022-10-21,5935,3537,3782,1385,18813.95,22424.58,20498.44,9875.05
2022-10-22,3633,3888,5892,1478,11516.61,24649.92,31934.64,10538.14
2022-10-23,6742,1574,1558,873,21372.14,9979.16,8444.36,6224.49
2022-10-24,6353,3896,4084,726,20139.01,24700.64,22135.28,5176.38
2022-10-25,5682,3434,1260,251,18011.94,21771.56,6829.2,1789.63
2022-10-26,3555,2370,3803,1616,11269.35,15025.8,20612.26,11522.08
2022-10-27,5948,3764,2315,440,18855.16,23863.76,12547.3,3137.2
2022-10-28,3869,3749,2715,835,12264.73,23768.66,14715.3,5953.55
2022-10-29,1635,2640,4529,1818,5182.95,16737.6,24547.18,12962.34
2022-10-30,521,2015,314,1936,1651.57,12775.1,1701.88,13803.68
2022-11-01,6152,1581,2071,342,19501.84,10023.54,11224.82,2438.46
2022-11-02,3010,3113,2963,350,9541.7,19736.42,16059.46,2495.5
2022-11-03,1864,2034,4096,925,5908.88,12895.56,22200.32,6595.25
2022-11-04,3628,2067,4410,1811,11500.76,13104.78,23902.2,12912.43
2022-11-05,3807,1661,4586,847,12068.19,10530.74,24856.12,6039.11
2022-11-06,6699,1952,3497,1152,21235.83,12375.68,18953.74,8213.76
2022-11-07,6427,3727,3147,1551,20373.59,23629.18,17056.74,11058.63
2022-11-08,2372,2721,730,2000,7519.24,17251.14,3956.6,14260.0
2022-11-09,992,604,1358,1563,3144.64,3829.36,7360.36,11144.19
2022-11-10,5498,2385,5817,1578,17428.66,15120.9,31528.14,11251.14
2022-11-11,2679,315,5018,445,8492.43,1997.1,27197.56,3172.85
2022-11-12,6778,2517,2047,1358,21486.26,15957.78,11094.74,9682.54
2022-11-13,6695,3607,1367,1342,21223.15,22868.38,7409.14,9568.46
2022-11-14,5194,603,2286,1206,16464.98,3823.02,12390.12,8598.78
2022-11-15,3024,842,5116,1589,9586.08,5338.28,27728.72,11329.57
2022-11-16,4951,729,2510,268,15694.67,4621.86,13604.2,1910.84
2022-11-17,5792,2820,329,282,18360.64,17878.8,1783.18,2010.66
2022-11-18,1182,1577,4690,1391,3746.94,9998.18,25419.8,9917.83
2022-11-19,1683,1029,4816,544,5335.11,6523.86,26102.72,3878.72
2022-11-20,6327,3494,1354,591,20056.59,22151.96,7338.68,4213.83
2022-11-21,4028,3725,1087,1638,12768.76,23616.5,5891.54,11678.94
2022-11-22,7087,1044,5105,1002,22465.79,6618.96,27669.1,7144.26
2022-11-23,6275,1288,2515,1134,19891.75,8165.92,13631.3,8085.42
2022-11-24,440,3594,1008,1768,1394.8,22785.96,5463.36,12605.84
2022-11-25,1848,3267,3313,1412,5858.16,20712.78,17956.46,10067.56
2022-11-26,4487,3679,1952,1965,14223.79,23324.86,10579.84,14010.45
2022-11-27,643,1766,2682,1173,2038.31,11196.44,14536.44,8363.49
2022-11-28,3226,429,752,1438,10226.42,2719.86,4075.84,10252.94
2022-11-29,6644,3557,555,859,21061.48,22551.38,3008.1,6124.67
2022-11-30,4874,1077,517,466,15450.58,6828.18,2802.14,3322.58
2022-12-01,2058,3599,579,1858,6523.86,22817.66,3138.18,13247.54
2022-12-02,4486,464,5381,671,14220.62,2941.76,29165.02,4784.23
2022-12-03,2969,3833,374,1261,9411.73,24301.22,2027.08,8990.93
2022-12-04,4930,3114,2993,582,15628.1,19742.76,16222.06,4149.66
2022-12-05,265,3937,5565,549,840.05,24960.58,30162.3,3914.37
2022-12-06,2787,1424,5976,1718,8834.79,9028.16,32389.92,12249.34
2022-12-07,474,2509,5633,696,1502.58,15907.06,30530.86,4962.48
2022-12-08,881,2110,5694,446,2792.77,13377.4,30861.48,3179.98
2022-12-09,6344,400,3993,1194,20110.48,2536.0,21642.06,8513.22
2022-12-10,6202,2979,5987,1109,19660.34,18886.86,32449.54,7907.17
2022-12-11,3219,1157,1341,587,10204.23,7335.38,7268.22,4185.31
2022-12-12,3896,1453,3597,353,12350.32,9212.02,19495.74,2516.89
2022-12-13,1845,1114,2177,1110,5848.65,7062.76,11799.34,7914.3
2022-12-14,7472,1202,3714,688,23686.24,7620.68,20129.88,4905.44
2022-12-15,7662,3681,4049,1096,24288.54,23337.54,21945.58,7814.48
2022-12-16,5163,536,5814,598,16366.71,3398.24,31511.88,4263.74
2022-12-17,5062,1515,5766,1062,16046.54,9605.1,31251.72,7572.06
2022-12-18,7109,3633,5333,1131,22535.53,23033.22,28904.86,8064.03
2022-12-19,680,3941,4631,1516,2155.6,24985.94,25100.02,10809.08
2022-12-20,2654,925,5895,1161,8413.18,5864.5,31950.9,8277.93
2022-12-21,7994,3128,1262,1165,25340.98,19831.52,6840.04,8306.45
2022-12-22,4873,764,2203,1151,15447.41,4843.76,11940.26,8206.63
2022-12-23,2230,3698,4208,1198,7069.1,23445.32,22807.36,8541.74
2022-12-24,1927,642,2643,659,6108.59,4070.28,14325.06,4698.67
2022-12-25,456,2530,3333,570,1445.52,16040.2,18064.86,4064.1
2022-12-26,7600,662,4510,988,24092.0,4197.08,24444.2,7044.44
2022-12-27,7114,2948,681,700,22551.38,18690.32,3691.02,4991.0
2022-12-28,7759,356,1834,1142,24596.03,2257.04,9940.28,8142.46
2022-12-29,6457,1851,3369,669,20468.69,11735.34,18259.98,4769.97
2022-12-30,7284,1417,788,1369,23090.28,8983.78,4270.96,9760.97
